date,n,category
1/1/07,1634,Unsheltered
1/1/07,2284,Sheltered
1/1/08,1634,Unsheltered
1/1/08,2284,Sheltered
1/1/09,1591,Unsheltered
1/1/09,2494,Sheltered
1/1/10,1591,Unsheltered
1/1/10,2644,Sheltered
1/1/11,1714,Unsheltered
1/1/11,2783,Sheltered
1/1/12,1714,Unsheltered
1/1/12,2709,Sheltered
1/1/13,1895,Unsheltered
1/1/13,2546,Sheltered
1/1/14,1895,Unsheltered
1/1/14,2032,Sheltered
1/1/15,1887,Unsheltered
1/1/15,1914,Sheltered
1/1/16,1887,Unsheltered
1/1/16,2027,Sheltered
1/1/17,1668,Unsheltered
1/1/17,2509,Sheltered
1/1/18,1668,Unsheltered
1/1/18,2351,Sheltered
1/1/19,2037,Unsheltered
1/1/19,1978,Sheltered
1/1/20,2037,Unsheltered
1/1/20,2136,Sheltered
1/1/21,NA,Unsheltered
1/1/21,1780,Sheltered
1/1/22,3057,Unsheltered
1/1/22,2171,Sheltered
1/1/23,3944,Unsheltered
1/1/23,2353,Sheltered
1/1/24,4969,Unsheltered
2/1/24,5371,Unsheltered
3/1/24,5623,Unsheltered
4/1/24,5773,Unsheltered
5/1/24,5619,Unsheltered
6/1/24,5708,Unsheltered
7/1/24,5874,Unsheltered
8/1/24,5989,Unsheltered
9/1/24,5844,Unsheltered
10/1/24,5827,Unsheltered
11/1/24,5906,Unsheltered
12/1/24,5975,Unsheltered
1/1/25,6275,Unsheltered
2/1/25,6796,Unsheltered
3/1/25,7159,Unsheltered
4/1/25,7414,Unsheltered
5/1/25,7318,Unsheltered
6/1/25,7541,Unsheltered
1/1/24,4041,Sheltered
2/1/24,4123,Sheltered
3/1/24,4116,Sheltered
4/1/24,4069,Sheltered
5/1/24,4149,Sheltered
6/1/24,4161,Sheltered
7/1/24,4158,Sheltered
8/1/24,4235,Sheltered
9/1/24,4367,Sheltered
10/1/24,4617,Sheltered
11/1/24,4764,Sheltered
12/1/24,4775,Sheltered
1/1/25,4849,Sheltered
2/1/25,4860,Sheltered
3/1/25,4814,Sheltered
4/1/25,4814,Sheltered
5/1/25,4893,Sheltered
6/1/25,4818,Sheltered
1/1/24,2420,Unknown
2/1/24,2448,Unknown
3/1/24,2556,Unknown
4/1/24,2762,Unknown
5/1/24,2812,Unknown
6/1/24,2882,Unknown
7/1/24,3016,Unknown
8/1/24,3095,Unknown
9/1/24,3142,Unknown
10/1/24,3195,Unknown
11/1/24,3194,Unknown
12/1/24,3199,Unknown
1/1/25,3237,Unknown
2/1/25,3208,Unknown
3/1/25,3272,Unknown
4/1/25,3313,Unknown
5/1/25,3352,Unknown
6/1/25,3506,Unknown